id,language,scenario
1,es,Recibí un correo que dice ser de nuestro Equipo de Seguridad de TI. Indica que mi cuenta será suspendida hoy a menos que restablezca mi contraseña en https://different-vision-116656.framer.app. ¿Es legítimo y debería ingresar mis credenciales?
2,es,Un mensaje de Slack de alguien llamado 'Help Desk' dice que hay actividad sospechosa en mi cuenta y me pide enviar el código de verificación de seis dígitos que acabo de recibir por SMS para que puedan confirmar mi identidad. ¿Es este un procedimiento normal de soporte?
3,es,"Alguien en un foro comunitario compartió https://adminnnnnweb.weebly.com/ y afirmó que es una herramienta gratuita para consultar beneficios de empleados. Antes de usarla, ¿puede alguien verificar si este sitio parece confiable o potencialmente malicioso?"
5,es,Un reclutador en LinkedIn dice que fui seleccionado para un trabajo remoto y que debo descargar una aplicación de entrevista desde https://learn-trexorcdn.wixstudio.com/us-en antes de la entrevista. El sitio me pide continuar desde esa página. ¿Es seguro?
6,es,Mi gerente parece haberme escrito desde un número nuevo pidiéndome que compre tarjetas de regalo para una emergencia con un cliente y que envíe fotos de los códigos. Dijo que está en una reunión y no puede hablar. ¿Es probable que esto sea legítimo?
7,es,Un correo dice que mi buzón de Microsoft 365 está lleno y que necesito iniciar sesión en https://io-desktop-live.wixstudio.com/desktop para seguir recibiendo mensajes. ¿Esto parece sospechoso?
8,es,"Una alerta bancaria dice que mi cuenta fue bloqueada por actividad sospechosa y enlaza a https://maxaward.us.cc/5g. Solicita nombre de usuario, contraseña, número de tarjeta de débito y código SMS. ¿Debería continuar?"
9,es,Un cartel con código QR en el vestíbulo de la oficina dice 'escanea para actualizar la información de depósito directo de nómina' y dirige a las personas a https://impactsolutionsecuador.free.nf/. ¿El phishing mediante código QR es una preocupación aquí?
11,es,Recibí un correo estilo DocuSign que me pide revisar un documento confidencial de Recursos Humanos en https://startapps-ledgr.wixstudio.com/en-us. Dice que el documento expira en dos horas. ¿Es probable que sea seguro?
12,es,"Un sitio web dice que puedo comprobar si mi correo electrónico estuvo incluido en una filtración si ingreso la contraseña de mi correo, mi número de teléfono y un código de recuperación. Está alojado en https://gyewueuw.zya.me/. ¿Es esta una forma confiable de comprobarlo?"
