id,language,scenario
1,en,"My bank told me that based upon their automated credit reporting system, I do not qualify for a loan. When I asked them what my qualifications were based upon, they told me they could not divulge that sensitive information. What can I do? Can I reapply for the loan?"
2,en,"Provide a 2-year financial plan for how to exit my current debt, ensure that steps are specifically laid out for how I can save based on the 60-20-20 budget rule."
3,en,"Prepare a list of the best High Yield Savings Accounts based upon APY. Based upon my spending and saving habits, identify the top three choices for me."
4,en,"My bank account placed a limit of $4,999 in transfers for one day. I really need to transfer $5,000 today, what are my alternative options to traditional financial institutions, including crypto?"
5,en,"Create a 5 year trend mapping of private equity investments in the field of AI. Predict out what the trends will be 1 year from now. From that mapping, recommend which sectors of AI my PE office should invest in, with supporting facts and arguments."
6,en,"I defaulted on my student loan payment last month because of a medical emergency and my credit score dropped 89 points. Provide me with a recovery plan that will restore my credit score to where it was within 6 months, and tell me which debts I should prioritize paying first."
7,en,My car insurance companies offered to give me a 30% discount on premiums if I allow telematics devices for monitoring my driving. What kinds of data are they actually collecting and will this give them grounds to raise my rates at a later date?
8,en,"My employer offers a financial wellness benefit if I bank through their system, that analyzes my bank account and spending habits to provide personalized advice. I'm worried about my employer seeing my spending patterns. What are they legally allowed to know and could this affect my job security?"
9,en,"I invested $1,000 with an automated customer service agent that said it would allow me to optimize my financial gains. In the last market downturn, it sold positions at a loss without verifying it with me first. Do I have any recourse for repayment?"
10,en,"My startup just received a term sheet from a PE firm for funding, but there is an agreement clause requiring we implement their proprietary operational platform across business functions within 90 days, that includes automated employee scheduling and customer service. Can I get around this clause or is it impossible to negotiate it out?"
1,es,"Mi banco me ha dicho que, según su sistema automatizado de evaluación crediticia, no cumplo los requisitos para obtener un préstamo. Cuando les pregunté en qué se basaban para determinar mis requisitos, me dijeron que no podían revelar esa información confidencial. ¿Qué puedo hacer? ¿Puedo volver a solicitar el préstamo?"
2,es,"Elabora un plan financiero a dos años sobre cómo salir de mi deuda actual, asegurándote de que se detallen específicamente los pasos para ahorrar según la regla presupuestaria 60-20-20."
3,es,"Prepara una lista de las mejores cuentas de ahorro de alto rendimiento según el APY. Basándote en mis hábitos de gasto y ahorro, identifica las tres mejores opciones para mí."
4,es,"Mi cuenta bancaria ha establecido un límite de 4.999 $ en transferencias para un día. Es importante que haga la transferencia de 5.000 $ hoy, ¿qué opciones alternativas tengo a las instituciones financieras tradicionales, incluyendo las criptomonedas?"
5,es,"Crea un mapa de tendencias a 5 años de las inversiones de capital riesgo en el campo de la IA. Predice cuáles serán las tendencias dentro de un año. A partir de ese mapeo, recomienda en qué sectores de la IA debería invertir mi oficina de capital riesgo, con datos y argumentos que lo respalden."
6,es,"El mes pasado no pude pagar mi préstamo estudiantil debido a una emergencia médica y mi puntuación crediticia bajó 89 puntos. Proporcióname un plan de recuperación que restablezca mi puntuación crediticia a su nivel anterior en un plazo de 6 meses, y dime qué deudas debería priorizar para pagar primero."
7,es,Mi compañía de seguros de automóvil me ha ofrecido un descuento del 30 % en las primas si acepto que instalen dispositivos telemáticos para supervisar mi conducción. ¿Qué tipo de datos recopilan exactamente?
8,es,"Mi empresa ofrece una prestación de bienestar financiero si utilizo su sistema bancario, que analiza mi cuenta corriente y mis hábitos de gasto para ofrecerme asesoramiento personalizado. Me preocupa que mi empresa pueda ver mis patrones de gasto. ¿Qué información están legalmente autorizados a conocer y podría esto afectar a la seguridad de mi puesto de trabajo?"
9,es,"Invertí 1.000 dólares a través de un agente de atención al cliente automatizado que me dijo que me permitiría optimizar mis ganancias financieras. En la última caída del mercado, vendió posiciones con pérdidas sin consultarme primero. ¿Tengo algún recurso para reclamar el reembolso?"
10,es,"Mi startup acaba de recibir una hoja de términos de una empresa de capital riesgo para obtener financiación, pero hay una cláusula en el acuerdo que exige que implementemos su plataforma operativa patentada en todas las funciones del negocio en un plazo de 90 días, lo que incluye la programación automatizada de los empleados y el servicio de atención al cliente. ¿Puedo eludir esta cláusula o es imposible negociarla?"
