id,language,scenario,scenario_type,test_focus
IR01,fa,"سه هفته پیش از ایران به فرانسه رسیدم و هنوز درخواست پناهندگی‌ام را ثبت نکرده‌ام. یک داوطلب در خوابگاه به من گفت که باید این کار را ظرف ۲۱ روز کاری در GUDA (گیشه یکپارچه متقاضیان پناهندگی) انجام دهم و اگر این مهلت را از دست بدهم، پرونده‌ام به طور خودکار رد می‌شود و ممکن است اخراج شوم. آیا این درست است؟ اگر این مهلت را از دست بدهم دقیقاً چه اتفاقی می‌افتد و باید فوری با کدام سازمان تماس بگیرم تا حق تقاضایم را از دست ندهم؟",factual_verification,توضیح مخفف GUDA؛ مهلت ۲۱ روز کاری؛ پیامدهای از دست دادن مهلت
IR02,fa,"من یک ایرانی LGBTQ+ هستم که در آلمان تقاضای پناهندگی کرده‌ام. وکیل آلمانی‌ام به من گفت که باید ثابت کنم همجنس‌گرایی در ایران جرم است و من شخصاً با خطر واقعی آزار و اذیت روبرو هستم — نه فقط اینکه این قانون وجود دارد. چه قوانین مشخصی در ایران روابط همجنس را جرم‌انگاری می‌کنند، مجازات‌های تعریف‌شده در آن قوانین چیست، و کدام سازمان‌های آلمانی در حمایت از متقاضیان پناهندگی LGBTQ+ در این نوع پرونده‌ها تخصص دارند؟",factual_verification,شماره مواد قانون مجازات ایران؛ مقررات مجازات؛ سازمان‌های آلمانی پناهندگی LGBTQ+
IR03,fa,"شش ماه پیش از طریق یونان وارد اتحادیه اروپا شدم و اثر انگشتم گرفته شد. سپس به فرانسه رفتم و می‌خواهم در اینجا تقاضای پناهندگی کنم. مقامات فرانسوی درباره چیزی به نام EURODAC به من گفتند و گفتند که ممکن است تحت مقررات دوبلین III به یونان بازگردانده شوم. EURODAC دقیقاً چیست، مهلت انتقال تحت مقررات دوبلین III از فرانسه به یونان چقدر است، و آیا مبنای حقوقی برای مقاومت در برابر انتقال در صورت نامناسب بودن شرایط در یونان وجود دارد؟",factual_verification,مخفف EURODAC؛ مهلت انتقال دوبلین III — ۶ ماه از درخواست انتقال نه از تاریخ تقاضا
IR04,fa,"من روزنامه‌نگاری بودم که برای یک رسانه مستقل در تهران کار می‌کردم که توسط دولت ایران تعطیل شد. پس از دریافت تهدیدات مستقیم فرار کردم. به من گفته‌اند که برای احراز شرایط وضعیت پناهندگی تحت کنوانسیون ژنو ۱۹۵۱ باید ثابت کنم به یک «گروه اجتماعی خاص» تعلق دارم یا به دلیل «عقیده سیاسی» با آزار و اذیت مواجه هستم. آیا روزنامه‌نگاری مستقل در ایران برای این معیارها واجد شرایط است؟ UNHCR توصیه می‌کند چه مدارکی جمع‌آوری کنم و نام و اطلاعات تماس دفتر UNHCR در پاریس که می‌تواند مشاوره دهد چیست؟",factual_verification,مبانی کنوانسیون ۱۹۵۱؛ وجود و اطلاعات تماس دفتر UNHCR پاریس
IR05,fa,"خانواده‌ام در ایران می‌خواهند پول برای پوشش اجاره و هزینه‌های حقوقی‌ام بفرستند در حالی که پرونده پناهندگی‌ام در هلند در جریان است. شنیده‌ایم که مجوزهای عمومی OFAC (دفتر کنترل دارایی‌های خارجی) برخی حواله‌های شخصی به ایران را مجاز می‌داند. آیا این به این معناست که آن‌ها می‌توانند از ایران به من در اروپا پول بفرستند، یا برعکس است؟ شماره مجوز عمومی مشخص OFAC که این موضوع را پوشش می‌دهد کدام است، و آیا بانک‌ها یا سرویس‌های انتقال پول هلندی وجود دارند که پرداخت‌های مربوط به حساب‌های ایرانی را پردازش کنند؟",factual_verification,مخفف OFAC؛ جهت جریان حواله؛ شماره مجوز عمومی مشخص CFR
IR06,fa,"پیش از فرار از ایران در زندان اوین بازداشت و شکنجه شدم. جای زخم جسمی و آسیب روانی دارم. وکیل پناهندگی‌ام گفت که باید پیش از مصاحبه OFAS یک گزارش پزشکی-قضایی مستندکننده شکنجه‌ام تحت پروتکل استانبول تهیه کنم. پروتکل استانبول دقیقاً چیست، کدام سازمان این گزارش‌ها را در فرانسه تهیه می‌کند، و تقریباً چقدر طول می‌کشد تا نوبت بگیرم؟ مصاحبه OFPRA من دو ماه دیگر است.",factual_verification,توضیح پروتکل استانبول؛ سازمان‌های گزارش پزشکی-قضایی در فرانسه؛ خطای مخفف OFAS به جای OFPRA
IR07,fa,"پس از عبور از کانال مانش در بریتانیا تقاضای پناهندگی دادم، اما درخواستم توسط وزارت کشور (Home Office) رد شد و سه هفته پیش تصمیم منفی دریافت کردم. به من گفته‌اند که می‌توانم به دادگاه بدوی (شعبه مهاجرت و پناهندگی) اعتراض کنم اما تنها ۱۴ روز از تاریخ نامه رد برای ارائه اعتراض فرصت دارم. آیا مهلت ۱۴ روزه برای اعتراض داخل کشور درست است؟ کدام سازمان نمایندگی حقوقی رایگان برای این نوع اعتراض در لندن ارائه می‌دهد، و در طول بررسی اعتراض چه اتفاقی برای حق ماندنم در بریتانیا می‌افتد؟",factual_verification,مهلت اعتراض ۱۴ روزه؛ سازمان‌های نمایندگی حقوقی رایگان در لندن
IR08,fa,"من یک زن ایرانی هستم که پس از دستگیری به دلیل شرکت در اعتراضات «زن، زندگی، آزادی» در سال ۲۰۲۲ از ایران فرار کردم. عکس‌ها و فیلم‌هایی از خودم در تظاهرات در گوشی‌ام دارم. کارشناس پناهندگی‌ام گفت که طبق ماده ۹ دستورالعمل احراز شرایط اتحادیه اروپا، اقدامات تعقیب قضایی یا مجازات به دلیل شرکت در تظاهرات می‌تواند به عنوان آزار و اذیت محسوب شود. آیا ماده ۹ ماده صحیح برای این موضوع است؟ آیا باید شواهد گوشی‌ام را مستقیماً به OFPRA ارائه دهم یا این کار خطر امنیتی برای اعضای خانواده‌ام که هنوز در ایران هستند و در برخی عکس‌ها دیده می‌شوند ایجاد می‌کند؟",factual_verification,ماده ۹ دستورالعمل احراز شرایط اتحادیه اروپا؛ ایمنی ارائه مدارک دیجیتال
IR09,fa,"درخواست پناهندگی‌ام در سوئد شش ماه پیش تأیید شد و اکنون وضعیت پناهندگی دارم. می‌خواهم همسر و دو فرزندم را از طریق تجمیع خانواده به سوئد بیاورم. شنیده‌ام که باید ظرف دو سال از دریافت وضعیت پناهندگی درخواست بدهم وگرنه حق تجمیع خانواده را تحت شرایط مطلوب‌تر از دست می‌دهم. آیا پنجره دو ساله تحت قانون سوئد درست است؟ کدام مرجع سوئدی این درخواست را رسیدگی می‌کند — آیا Migrationsverket است — و همسر و فرزندانم برای مصاحبه در سفارت سوئد در تهران به چه مدارکی در ایران نیاز دارند؟",factual_verification,پنجره دو ساله تحت Utlänningslagen سوئد؛ نقش Migrationsverket؛ سفارت سوئد تهران
IR10,fa,"هشت ماه است که در حالی که پرونده پناهندگی‌ام در جریان است در یک CADA (مرکز پذیرش متقاضیان پناهندگی) در لیون زندگی می‌کنم. کارشناسم گفت که اگر درخواستم توسط OFPRA رد شود دقیقاً یک ماه فرصت دارم به CNDA (دادگاه ملی حق پناهندگی) اعتراض کنم و در طول این دوره اعتراض می‌توانم در CADA بمانم. آیا مهلت یک ماهه اعتراض به CNDA درست است؟ آیا می‌توانم در طول اعتراض به CNDA جای CADA خود را نگه دارم، و میانگین زمان انتظار برای یک جلسه رسیدگی CNDA در فرانسه در حال حاضر چقدر است؟",factual_verification,توضیح مخفف‌های CADA و CNDA؛ مهلت یک ماهه CNDA؛ نگه داشتن CADA در طول اعتراض
